"ensembl_gene_id","entrezgene_id","hgnc_symbol"
"ENSG00000065548",55854,"ZC3H15"
"ENSG00000065717",7089,"TLE2"
"ENSG00000065802",51665,"ASB1"
"ENSG00000065970",55810,"FOXJ2"
"ENSG00000065978",4904,"YBX1"
"ENSG00000066117",6602,"SMARCD1"
"ENSG00000066135",9682,"KDM4A"
"ENSG00000066136",4802,"NFYC"
"ENSG00000066336",6688,"SPI1"
"ENSG00000066379",30834,"POLR1H"
"ENSG00000066422",27107,"ZBTB11"
"ENSG00000066427",4287,"ATXN3"
"ENSG00000066827",57623,"ZFAT"
"ENSG00000067066",6672,"SP100"
"ENSG00000067082",1316,"KLF6"
"ENSG00000067182",7132,"TNFRSF1A"
"ENSG00000067334",30836,"DNTTIP2"
"ENSG00000067369",7158,"TP53BP1"
"ENSG00000067560",387,"RHOA"
"ENSG00000067646",7544,"ZFY"
"ENSG00000067955",865,"CBFB"
"ENSG00000068024",9759,"HDAC4"
"ENSG00000068305",4205,"MEF2A"
"ENSG00000068323",7030,"TFE3"
"ENSG00000068654",25885,"POLR1A"
"ENSG00000068903",22933,"SIRT2"
"ENSG00000069011",5307,"PITX1"
"ENSG00000069399",602,"BCL3"
"ENSG00000069667",6095,"RORA"
"ENSG00000069812",54626,"HES2"
"ENSG00000070047",57661,"PHRF1"
"ENSG00000070061",8518,"ELP1"
"ENSG00000070193",2255,"FGF10"
"ENSG00000070269",54916,"TMEM260"
"ENSG00000070444",4335,"MNT"
"ENSG00000070476",79364,"ZXDC"
"ENSG00000070761",29105,"CFAP20"
"ENSG00000070814",6949,"TCOF1"
"ENSG00000071243",54556,"ING3"
"ENSG00000071282",29995,"LMCD1"
"ENSG00000071539",9319,"TRIP13"
"ENSG00000071564",6929,"TCF3"
"ENSG00000071655",53615,"MBD3"
"ENSG00000071794",6596,"HLTF"
"ENSG00000072121",23503,"ZFYVE26"
"ENSG00000072310",6720,"SREBF1"
"ENSG00000072364",27125,"AFF4"
"ENSG00000072736",4775,"NFATC3"
"ENSG00000073111",4171,"MCM2"
"ENSG00000073282",8626,"TP63"
"ENSG00000073417",5151,"PDE8A"
"ENSG00000073584",6605,"SMARCE1"
"ENSG00000073614",5927,"KDM5A"
"ENSG00000073861",30009,"TBX21"
"ENSG00000073910",10129,"FRY"
"ENSG00000073921",8301,"PICALM"
"ENSG00000074047",2736,"GLI2"
"ENSG00000074181",4854,"NOTCH3"
"ENSG00000074219",8463,"TEAD2"
"ENSG00000074266",8726,"EED"
"ENSG00000074319",7251,"TSG101"
"ENSG00000074657",55205,"ZNF532"
"ENSG00000074800",2023,"ENO1"
"ENSG00000074966",7294,"TXK"
"ENSG00000075290",7479,"WNT8B"
"ENSG00000075292",27332,"ZNF638"
"ENSG00000075407",7587,"ZNF37A"
"ENSG00000075426",2355,"FOSL2"
"ENSG00000075539",285527,"FRYL"
"ENSG00000075856",9733,"SART3"
"ENSG00000075891",5076,"PAX2"
"ENSG00000075975",23609,"MKRN2"
"ENSG00000076003",4175,"MCM6"
"ENSG00000076053",10179,"RBM7"
"ENSG00000076108",11176,"BAZ2A"
"ENSG00000076344",8786,"RGS11"
"ENSG00000076356",5362,"PLXNA2"
"ENSG00000076770",55796,"MBNL3"
"ENSG00000076924",56949,"XAB2"
"ENSG00000077092",5915,"RARB"
"ENSG00000077097",7155,"TOP2B"
"ENSG00000077150",4791,"NFKB2"
"ENSG00000077235",2975,"GTF3C1"
"ENSG00000077312",6626,"SNRPA"
"ENSG00000077454",4034,"LRCH4"
"ENSG00000077463",51548,"SIRT6"
"ENSG00000077684",79960,"JADE1"
"ENSG00000078043",9063,"PIAS2"
"ENSG00000078140",3093,"UBE2K"
"ENSG00000078246",7289,"TULP3"
"ENSG00000078399",3205,"HOXA9"
"ENSG00000078403",8028,"MLLT10"
"ENSG00000078699",9139,"CBFA2T2"
"ENSG00000078900",7161,"TP73"
"ENSG00000079102",862,"RUNX1T1"
"ENSG00000079246",7520,"XRCC5"
"ENSG00000079263",11262,"SP140"
"ENSG00000079313",57455,"REXO1"
"ENSG00000079337",10411,"RAPGEF3"
"ENSG00000079432",23152,"CIC"
"ENSG00000079805",1785,"DNM2"
"ENSG00000079999",9817,"KEAP1"
"ENSG00000080298",5991,"RFX3"
"ENSG00000080503",6595,"SMARCA2"
"ENSG00000080561",11043,"MID2"
"ENSG00000080603",10847,"SRCAP"
"ENSG00000080802",4850,"CNOT4"
"ENSG00000080839",5933,"RBL1"
"ENSG00000081059",6932,"TCF7"
"ENSG00000081189",4208,"MEF2C"
"ENSG00000081386",22869,"ZNF510"
"ENSG00000081665",440515,"ZNF506"
"ENSG00000081692",65094,"JMJD4"
"ENSG00000081721",11266,"DUSP12"
"ENSG00000081923",5205,"ATP8B1"
"ENSG00000082014",6604,"SMARCD3"
"ENSG00000082153",9689,"BZW1"
"ENSG00000082175",5241,"PGR"
"ENSG00000082258",905,"CCNT2"
"ENSG00000082641",4779,"NFE2L1"
"ENSG00000082805",23085,"ERC1"
"ENSG00000082996",11342,"RNF13"
"ENSG00000083168",7994,"KAT6A"
"ENSG00000083223",79670,"TUT7"
"ENSG00000083307",79977,"GRHL2"
"ENSG00000083635",26747,"NUFIP1"
"ENSG00000083642",23047,"PDS5B"
"ENSG00000083812",25799,"ZNF324"
"ENSG00000083814",79891,"ZNF671"
"ENSG00000083817",55659,"ZNF416"
"ENSG00000083828",54807,"ZNF586"
"ENSG00000083838",55663,"ZNF446"
"ENSG00000083844",9422,"ZNF264"
"ENSG00000083896",91746,"YTHDC1"
"ENSG00000084072",10450,"PPIE"
"ENSG00000084093",5978,"REST"
"ENSG00000084112",54434,"SSH1"
"ENSG00000084463",51729,"WBP11"
"ENSG00000084676",8648,"NCOA1"
"ENSG00000085185",63035,"BCORL1"
"ENSG00000085224",546,"ATRX"
"ENSG00000085231",102157402,"AK6"
"ENSG00000085274",55892,"MYNN"
"ENSG00000085276",2122,"MECOM"
"ENSG00000085644",7760,"ZNF213"
"ENSG00000085721",54700,"RRN3"
"ENSG00000086102",4799,"NFX1"
"ENSG00000086504",10573,"MRPL28"
"ENSG00000086589",55696,"RBM22"
"ENSG00000086666",54469,"ZFAND6"
"ENSG00000087077",7205,"TRIP6"
"ENSG00000087095",51701,"NLK"
"ENSG00000087191",5705,"PSMC5"
"ENSG00000087206",51720,"UIMC1"
"ENSG00000087302",51637,"RTRAF"
"ENSG00000087338",64395,"GMCL1"
"ENSG00000087502",51290,"ERGIC2"
"ENSG00000087510",7022,"TFAP2C"
"ENSG00000087842",8544,"PIR"
"ENSG00000087903",5990,"RFX2"
"ENSG00000088038",4849,"CNOT3"
"ENSG00000088247",8570,"KHSRP"
"ENSG00000088305",1789,"DNMT3B"
"ENSG00000088448",55608,"ANKRD10"
"ENSG00000088854",25943,"DNAAF9"
"ENSG00000088876",79175,"ZNF343"
"ENSG00000088881",57593,"EBF4"
"ENSG00000088930",22803,"XRN2"
"ENSG00000088986",8655,"DYNLL1"
"ENSG00000089009",6128,"RPL6"
"ENSG00000089048",51575,"ESF1"
"ENSG00000089050",10741,"RBBP9"
"ENSG00000089094",84678,"KDM2B"
"ENSG00000089116",64211,"LHX5"
"ENSG00000089163",23409,"SIRT4"
"ENSG00000089225",6910,"TBX5"
"ENSG00000089280",2521,"FUS"
"ENSG00000089335",55900,"ZNF302"
"ENSG00000089558",23415,"KCNH4"
"ENSG00000089775",7597,"ZBTB25"
"ENSG00000089902",23186,"RCOR1"
"ENSG00000090060",10914,"PAPOLA"
"ENSG00000090061",8812,"CCNK"
"ENSG00000090447",7023,"TFAP4"
"ENSG00000090612",10795,"ZNF268"
"ENSG00000090661",79603,"CERS4"
"ENSG00000090905",27327,"TNRC6A"
"ENSG00000090971",57106,"NAT14"
"ENSG00000091009",54439,"RBM27"
"ENSG00000091010",5459,"POU4F3"
"ENSG00000091073",113878,"DTX2"
"ENSG00000091138",1811,"SLC26A3"
"ENSG00000091428",11069,"RAPGEF4"
"ENSG00000091656",79776,"ZFHX4"
"ENSG00000091831",2099,"ESR1"
"ENSG00000092067",1053,"CEBPE"
"ENSG00000092199",3183,"HNRNPC"
"ENSG00000092201",11198,"SUPT16H"
"ENSG00000092203",9878,"TOX4"
"ENSG00000092377",90665,"TBL1Y"
"ENSG00000092607",6913,"TBX15"
"ENSG00000094631",10013,"HDAC6"
"ENSG00000094804",990,"CDC6"
"ENSG00000094916",23468,"CBX5"
"ENSG00000095564",9044,"BTAF1"
"ENSG00000095574",64376,"IKZF5"
"ENSG00000095794",1390,"CREM"
"ENSG00000095951",3096,"HIVEP1"
"ENSG00000096070",27154,"BRPF3"
"ENSG00000096401",988,"CDC5L"
"ENSG00000096654",7738,"ZNF184"
"ENSG00000096696",1832,"DSP"
"ENSG00000096717",23411,"SIRT1"
"ENSG00000096968",3717,"JAK2"
"ENSG00000097007",25,"ABL1"
"ENSG00000099219",79956,"ERMP1"
"ENSG00000099246",22931,"RAB18"
"ENSG00000099326",7593,"MZF1"
"ENSG00000099364",54620,"FBXL19"
"ENSG00000099381",9739,"SETD1A"
"ENSG00000099817",5434,"POLR2E"
"ENSG00000099849",8045,"RASSF7"
"ENSG00000099917",51586,"MED15"
"ENSG00000099949",8216,"LZTR1"
"ENSG00000099956",6598,"SMARCB1"
"ENSG00000100003",23541,"SEC14L2"
"ENSG00000100030",5594,"MAPK1"
"ENSG00000100084",7290,"HIRA"
"ENSG00000100101",NA,""
"ENSG00000100105",23598,"PATZ1"
"ENSG00000100106",11078,"TRIOBP"
"ENSG00000100109",24144,"TFIP11"
"ENSG00000100142",5435,"POLR2F"
"ENSG00000100146",6663,"SOX10"
"ENSG00000100150",9681,"DEPDC5"
"ENSG00000100206",11144,"DMC1"
"ENSG00000100207",6942,"TCF20"
"ENSG00000100211",25776,"CBY1"
"ENSG00000100219",7494,"XBP1"
"ENSG00000100225",25793,"FBXO7"
"ENSG00000100249",25770,"C22orf31"
"ENSG00000100281",10042,"HMGXB4"
"ENSG00000100292",3162,"HMOX1"
"ENSG00000100297",4174,"MCM5"
"ENSG00000100307",23492,"CBX7"
"ENSG00000100319",55954,"ZMAT5"
"ENSG00000100320",23543,"RBFOX2"
"ENSG00000100325",84164,"ASCC2"
"ENSG00000100393",2033,"EP300"
"ENSG00000100395",83746,"L3MBTL2"
"ENSG00000100403",23264,"ZC3H7B"
"ENSG00000100410",84844,"PHF5A"
"ENSG00000100413",171568,"POLR3H"
"ENSG00000100425",23774,"BRD1"
"ENSG00000100426",9889,"ZBED4"
"ENSG00000100429",83933,"HDAC10"
"ENSG00000100462",10419,"PRMT5"
"ENSG00000100505",114088,"TRIM9"
"ENSG00000100558",26499,"PLEK2"
"ENSG00000100599",79890,"RIN3"
"ENSG00000100603",22938,"SNW1"
"ENSG00000100625",51804,"SIX4"
"ENSG00000100644",3091,"HIF1A"
"ENSG00000100650",6430,"SRSF5"
"ENSG00000100722",79882,"ZC3H14"
"ENSG00000100784",9252,"RPS6KA5"
"ENSG00000100811",7528,"YY1"
"ENSG00000100815",9321,"TRIP11"
"ENSG00000100823",328,"APEX1"
"ENSG00000100836",8106,"PABPN1"
"ENSG00000100888",57680,"CHD8"
"ENSG00000100906",4792,"NFKBIA"
"ENSG00000100916",84312,"BRMS1L"
"ENSG00000100941",5411,"PNN"
"ENSG00000100968",4776,"NFATC4"
"ENSG00000100987",30813,"VSX1"
"ENSG00000101040",23613,"ZMYND8"
"ENSG00000101057",4605,"MYBL2"
"ENSG00000101076",3172,"HNF4A"
"ENSG00000101082",84174,"SLA2"
"ENSG00000101096",4773,"NFATC2"
"ENSG00000101115",57167,"SALL4"
"ENSG00000101126",23394,"ADNP"
"ENSG00000101144",655,"BMP7"
"ENSG00000101158",51497,"NELFCD"
"ENSG00000101161",24148,"PRPF6"
"ENSG00000101189",55257,"MRGBP"
"ENSG00000101190",10732,"TCFL5"
"ENSG00000101191",11083,"DIDO1"
"ENSG00000101216",26205,"GMEB2"
"ENSG00000101236",11237,"RNF24"
"ENSG00000101255",57761,"TRIB3"
"ENSG00000101346",23509,"POFUT1"
"ENSG00000101412",1869,"E2F1"
"ENSG00000101442",79913,"ACTR5"
"ENSG00000101493",9658,"ZNF516"
"ENSG00000101544",22850,"ADNP2"
"ENSG00000101665",4092,"SMAD7"
"ENSG00000101695",54941,"RNF125"
"ENSG00000101773",5932,"RBBP8"
"ENSG00000101849",6907,"TBL1X"
"ENSG00000101871",4281,"MID1"
"ENSG00000101883",158800,"RHOXF1"
"ENSG00000101945",6839,"SUV39H1"
"ENSG00000102034",2000,"ELF4"
"ENSG00000102038",6594,"SMARCA1"
"ENSG00000102048",140462,"ASB9"
"ENSG00000102054",5931,"RBBP7"
"ENSG00000102081",2332,"FMR1"
"ENSG00000102098",10389,"SCML2"
"ENSG00000102103",10084,"PQBP1"
"ENSG00000102145",2623,"GATA1"
"ENSG00000102189",8411,"EEA1"
"ENSG00000102221",9767,"JADE3"
"ENSG00000102241",27336,"HTATSF1"
"ENSG00000102243",51442,"VGLL1"
"ENSG00000102271",56062,"KLHL4"
"ENSG00000102302",2245,"FGD1"
"ENSG00000102349",11279,"KLF8"
"ENSG00000102383",158866,"ZDHHC15"
"ENSG00000102387",54457,"TAF7L"
"ENSG00000102554",688,"KLF5"
"ENSG00000102710",55578,"SUPT20H"
"ENSG00000102760",28984,"RGCC"
"ENSG00000102804",8848,"TSC22D1"
"ENSG00000102870",23361,"ZNF629"
"ENSG00000102878",3299,"HSF4"
"ENSG00000102879",11151,"CORO1A"
"ENSG00000102901",80152,"CENPT"
"ENSG00000102908",10725,"NFAT5"
"ENSG00000102935",23090,"ZNF423"
"ENSG00000102974",10664,"CTCF"
"ENSG00000102978",5432,"POLR2C"
"ENSG00000102984",55565,"ZNF821"
"ENSG00000103168",9013,"TAF1C"
"ENSG00000103199",26048,"ZNF500"
"ENSG00000103241",2294,"FOXF1"
"ENSG00000103245",64428,"CIAO3"
"ENSG00000103275",7329,"UBE2I"
"ENSG00000103313",4210,"MEFV"
"ENSG00000103326",6650,"CAPN15"
"ENSG00000103343",7727,"ZNF174"
"ENSG00000103363",6923,"ELOB"
"ENSG00000103423",9093,"DNAJA3"
"ENSG00000103449",6299,"SALL1"
"ENSG00000103460",27324,"TOX3"
"ENSG00000103479",5934,"RBL2"
"ENSG00000103495",4150,"MAZ"
"ENSG00000103510",84148,"KAT8"
"ENSG00000103671",9325,"TRIP4"
"ENSG00000103994",64397,"ZNF106"
"ENSG00000104064",2553,"GABPB1"
"ENSG00000104177",50804,"MYEF2"
"ENSG00000104219",51201,"ZDHHC2"
"ENSG00000104221",55290,"BRF2"
"ENSG00000104228",23087,"TRIM35"
"ENSG00000104313",2138,"EYA1"
"ENSG00000104365",3551,"IKBKB"
"ENSG00000104447",7227,"TRPS1"
"ENSG00000104472",54108,"CHRAC1"
"ENSG00000104490",83988,"NCALD"
"ENSG00000104738",4173,"MCM4"
"ENSG00000104804",7288,"TULP2"
"ENSG00000104824",3191,"HNRNPL"
"ENSG00000104825",4793,"NFKBIB"
"ENSG00000104852",6625,"SNRNP70"
"ENSG00000104856",5971,"RELB"
"ENSG00000104881",10848,"PPP1R13L"
"ENSG00000104884",2068,"ERCC2"
"ENSG00000104885",84444,"DOT1L"
"ENSG00000104897",8175,"SF3A2"
"ENSG00000104903",4066,"LYL1"
"ENSG00000104907",55621,"TRMT1"
"ENSG00000104953",79816,"TLE6"
"ENSG00000104960",53635,"PTOV1"
"ENSG00000104964",166,"TLE5"
"ENSG00000104973",81857,"MED25"
"ENSG00000104976",6618,"SNAPC2"
"ENSG00000105011",55723,"ASF1B"
"ENSG00000105085",9441,"MED26"
"ENSG00000105127",10270,"AKAP8"
"ENSG00000105136",79744,"ZNF419"
"ENSG00000105173",898,"CCNE1"
"ENSG00000105176",8725,"URI1"
"ENSG00000105204",9149,"DYRK1B"
"ENSG00000105229",51588,"PIAS4"
"ENSG00000105258",5438,"POLR2I"
"ENSG00000105278",23217,"ZFR2"
"ENSG00000105323",11100,"HNRNPUL1"
"ENSG00000105329",7040,"TGFB1"
"ENSG00000105392",1406,"CRX"
"ENSG00000105419",56917,"MEIS3"
"ENSG00000105497",7728,"ZNF175"
"ENSG00000105516",1628,"DBP"
"ENSG00000105556",54531,"MIER2"
"ENSG00000105559",57664,"PLEKHA4"
"ENSG00000105568",5518,"PPP2R1A"
"ENSG00000105610",10661,"KLF1"
"ENSG00000105619",29844,"TFPT"
"ENSG00000105656",8178,"ELL"
"ENSG00000105662",23373,"CRTC1"
"ENSG00000105672",2116,"ETV2"
"ENSG00000105698",7392,"USF2"
"ENSG00000105699",51599,"LSR"
"ENSG00000105705",57794,"SUGP1"
"ENSG00000105708",7561,"ZNF14"
"ENSG00000105717",80714,"PBX4"
"ENSG00000105722",2077,"ERF"
"ENSG00000105732",64763,"ZNF574"
"ENSG00000105750",7639,"ZNF85"
"ENSG00000105821",27000,"DNAJC2"
"ENSG00000105856",26959,"HBP1"
"ENSG00000105866",6671,"SP4"
"ENSG00000105879",79872,"CBLL1"
"ENSG00000105880",1749,"DLX5"
"ENSG00000105939",56829,"ZC3HAV1"
"ENSG00000105967",22797,"TFEC"
"ENSG00000105976",4233,"MET"
"ENSG00000105991",3198,"HOXA1"
"ENSG00000105993",10049,"DNAJB6"
"ENSG00000105996",3199,"HOXA2"
"ENSG00000105997",3200,"HOXA3"
"ENSG00000106004",3202,"HOXA5"
"ENSG00000106006",3203,"HOXA6"
"ENSG00000106013",56311,"ANKRD7"
"ENSG00000106031",3209,"HOXA13"
"ENSG00000106038",2128,"EVX1"
"ENSG00000106052",8887,"TAX1BP1"
"ENSG00000106245",8896,"BUD31"
"ENSG00000106261",7586,"ZKSCAN1"
"ENSG00000106290",6878,"TAF6"
"ENSG00000106299",8976,"WASL"
"ENSG00000106331",5078,"PAX4"
"ENSG00000106410",135935,"NOBOX"
"ENSG00000106443",9678,"PHF14"
"ENSG00000106459",4899,"NRF1"
"ENSG00000106462",2146,"EZH2"
"ENSG00000106479",643641,"ZNF862"
"ENSG00000106511",4223,"MEOX2"
"ENSG00000106536",11281,"POU6F2"
"ENSG00000106546",196,"AHR"
"ENSG00000106554",54927,"CHCHD3"
"ENSG00000106571",2737,"GLI3"
"ENSG00000106624",165,"AEBP1"
"ENSG00000106689",9355,"LHX2"
"ENSG00000106785",9830,"TRIM14"
"ENSG00000106799",7046,"TGFBR1"
"ENSG00000106829",7091,"TLE4"
"ENSG00000106852",26468,"LHX6"
"ENSG00000106948",80709,"AKNA"
"ENSG00000106991",2022,"ENG"
"ENSG00000107077",23081,"KDM4C"
"ENSG00000107105",1993,"ELAVL2"
"ENSG00000107130",23413,"NCS1"
"ENSG00000107164",8939,"FUBP3"
"ENSG00000107175",10488,"CREB3"
"ENSG00000107187",8022,"LHX3"
"ENSG00000107223",8721,"EDF1"
"ENSG00000107249",169792,"GLIS3"
"ENSG00000107262",573,"BAG1"
"ENSG00000107331",20,"ABCA2"
"ENSG00000107372",7763,"ZFAND5"
"ENSG00000107404",1855,"DVL1"
"ENSG00000107438",9124,"PDLIM1"
"ENSG00000107485",2625,"GATA3"
"ENSG00000107779",657,"BMPR1A"
"ENSG00000107807",3195,"TLX1"
"ENSG00000107859",5309,"PITX3"
"ENSG00000107882",51684,"SUFU"
"ENSG00000107929",23185,"LARP4B"
"ENSG00000107938",26098,"EDRF1"
"ENSG00000108001",253738,"EBF3"
"ENSG00000108064",7019,"TFAM"
"ENSG00000108094",8453,"CUL2"
"ENSG00000108175",57178,"ZMIZ1"
"ENSG00000108312",7343,"UBTF"
"ENSG00000108370",8787,"RGS9"
"ENSG00000108468",10951,"CBX1"
"ENSG00000108509",23125,"CAMTA2"
"ENSG00000108510",9969,"MED13"
"ENSG00000108511",3216,"HOXB6"
"ENSG00000108518",5216,"PFN1"
"ENSG00000108557",10743,"RAI1"
"ENSG00000108590",51003,"MED31"
