"EnsemblID","GeneName","Hsap","Anan","Capa","Caty","Ccap","Cjac","Csab","Ggor","Mfas","Mleu","Mmul","Mmur","Mnem","Nleu","Ogar","Ppyg","Panu","Pcoq","Ppan","Psim","Ptep","Ptro","Rbie","Rrox","Sbbo","Tgel","Tsyr","number.of.NAs"
"ENSG00000005007","UPF1","ENST00000262803.10","ENSANAT00000030198.1","ENSCANT00000035913.1","ENSCATT00000059107.1","ENSCCAT00000046228.1","ENSCJAT00000038547.3","ENSCSAT00000003309.1","ENSGGOT00000002626.3","ENSMFAT00000011471.1","ENSMLET00000031862.1","ENSMMUT00000067563.2","ENSMICT00000047533.2","ENSMNET00000000153.1","ENSNLET00000042956.1","ENSOGAT00000012872.2","ENSPPYT00000011348.2","ENSPANT00000056931.1","ENSPCOT00000034038.1","ENSPPAT00000065602.1","ENSPSMT00000001735.1","ENSPTET00000041614.1","ENSPTRT00000094219.1","ENSRBIT00000015671.1","ENSRROT00000059248.1","ENSSBOT00000030643.1","ENSTGET00000022152.1","ENSTSYT00000049559.1",0
"ENSG00000005073","HOXA11","ENST00000006015.4","ENSANAT00000028293.1","ENSCANT00000024656.1","ENSCATT00000001747.1","ENSCCAT00000053723.1","ENSCJAT00000015961.4","ENSCSAT00000012402.1","ENSGGOT00000033915.2","ENSMFAT00000034136.1","ENSMLET00000048057.1","ENSMMUT00000093492.1","ENSMICT00000036298.2","ENSMNET00000037111.1","ENSNLET00000019137.2","ENSOGAT00000012391.2","ENSPPYT00000020621.1","ENSPANT00000001529.2","ENSPCOT00000025478.1","ENSPPAT00000053139.1","ENSPSMT00000024152.1","ENSPTET00000029288.1","ENSPTRT00000035162.4","ENSRBIT00000005670.1","ENSRROT00000035863.1","ENSSBOT00000023665.1","ENSTGET00000030796.1","ENSTSYT00000006241.2",0
"ENSG00000005075","POLR2J","ENST00000393794.4",NA,NA,NA,NA,NA,NA,NA,"lcl|XM_005549316.2_cds_XP_005549373.1_1 ","lcl|XM_011971231.1_cds_XP_011826621.1_1 ",NA,NA,NA,"lcl|XM_030797501.1_cds_XP_030653361.1_1 ",NA,NA,NA,"ENSPCOT00000035407.1",NA,NA,NA,"lcl|XM_009443883.1_cds_XP_009442158.1_1 ","lcl|XM_017857618.1_cds_XP_017713107.1_1 ",NA,NA,NA,NA,20
"ENSG00000005102","MEOX1","ENST00000318579.9","ENSANAT00000044408.1","ENSCANT00000024235.1","ENSCATT00000069418.1","ENSCCAT00000032842.1","ENSCJAT00000085783.2","ENSCSAT00000001479.1","ENSGGOT00000058634.1","ENSMFAT00000029567.1","ENSMLET00000056840.1","ENSMMUT00000012564.4","ENSMICT00000050635.2","ENSMNET00000049287.1","ENSNLET00000051019.1","ENSOGAT00000007675.2","ENSPPYT00000009769.1","ENSPANT00000012791.2",NA,"ENSPPAT00000053565.1","ENSPSMT00000015091.1",NA,"ENSPTRT00000017002.5","ENSRBIT00000055731.1","ENSRROT00000057024.1","ENSSBOT00000044450.1","ENSTGET00000019432.1","ENSTSYT00000039298.1",2
"ENSG00000005302","MSL3","ENST00000312196.10","ENSANAT00000022660.1","ENSCANT00000043892.1","ENSCATT00000068962.1","ENSCCAT00000053607.1","ENSCJAT00000054422.3","ENSCSAT00000013293.1","ENSGGOT00000006611.3","ENSMFAT00000068262.1","ENSMLET00000051416.1","ENSMMUT00000003831.4",NA,"ENSMNET00000069645.1","ENSNLET00000011600.2",NA,"ENSPPYT00000023467.2","ENSPANT00000019483.2","ENSPCOT00000011482.1","ENSPPAT00000056387.1","ENSPSMT00000035875.1","ENSPTET00000047661.1","ENSPTRT00000097852.1",NA,"ENSRROT00000040993.1","ENSSBOT00000010254.1","ENSTGET00000022098.1","ENSTSYT00000048836.1",3
"ENSG00000005339","CREBBP","ENST00000262367.10","ENSANAT00000028303.1","ENSCANT00000054151.1","ENSCATT00000057326.1","ENSCCAT00000033341.1","ENSCJAT00000038739.4","ENSCSAT00000007732.1","ENSGGOT00000006057.3","ENSMFAT00000010403.1","ENSMLET00000003655.1","ENSMMUT00000083078.1","ENSMICT00000039505.2","ENSMNET00000065605.1","ENSNLET00000012494.3","ENSOGAT00000002316.2","ENSPPYT00000008305.2","ENSPANT00000026852.2","ENSPCOT00000031781.1","ENSPPAT00000053659.1","ENSPSMT00000029413.1","ENSPTET00000013670.1","ENSPTRT00000091645.1","ENSRBIT00000054554.1","ENSRROT00000000806.1","ENSSBOT00000038997.1","ENSTGET00000036984.1","ENSTSYT00000029462.1",0
"ENSG00000005436","GCFC2","ENST00000321027.8","ENSANAT00000041377.1","ENSCANT00000034057.1","ENSCATT00000069217.1","ENSCCAT00000047153.1","ENSCJAT00000033246.4","ENSCSAT00000013948.1","ENSGGOT00000027740.3","ENSMFAT00000032929.1","ENSMLET00000034466.1","ENSMMUT00000026030.4","ENSMICT00000031654.2","ENSMNET00000047374.1","ENSNLET00000042736.1",NA,"ENSPPYT00000014222.2","ENSPANT00000009804.2","ENSPCOT00000007670.1","ENSPPAT00000059798.1","ENSPSMT00000031350.1","ENSPTET00000051317.1","ENSPTRT00000022518.5","ENSRBIT00000051904.1","ENSRROT00000062862.1","ENSSBOT00000053920.1","ENSTGET00000027972.1","ENSTSYT00000002362.2",1
"ENSG00000005513","SOX8","ENST00000293894.4","ENSANAT00000048411.1","ENSCANT00000037374.1","ENSCATT00000055880.1","ENSCCAT00000030429.1","ENSCJAT00000005151.3","ENSCSAT00000009979.1","ENSGGOT00000028948.2",NA,NA,NA,"ENSMICT00000011512.3","ENSMNET00000058596.1","ENSNLET00000010833.2","ENSOGAT00000032966.1","ENSPPYT00000008182.2","ENSPANT00000028054.2","ENSPCOT00000032424.1",NA,"ENSPSMT00000034738.1","ENSPTET00000002779.1","ENSPTRT00000013966.4","ENSRBIT00000056492.1","ENSRROT00000054910.1",NA,"ENSTGET00000008964.1",NA,6
"ENSG00000005801","ZNF195","ENST00000399602.9",NA,"lcl|XM_011930119.1_cds_XP_011785509.1_1 ","ENSCATT00000039147.1","ENSCCAT00000049577.1",NA,"lcl|XM_008012297.1_cds_XP_008010488.1_1 ","ENSGGOT00000064431.1","lcl|XM_015434306.1_cds_XP_015289792.1_1 ","lcl|XM_011988185.1_cds_XP_011843575.1_1 ","ENSMMUT00000031129.4",NA,"lcl|XM_011721254.2_cds_XP_011719556.1_1 ","ENSNLET00000041471.1",NA,"ENSPPYT00000003540.2","lcl|XM_031653810.1_cds_XP_031509670.1_1 ",NA,"ENSPPAT00000031725.1",NA,"lcl|XM_026448726.1_cds_XP_026304511.1_1 ","ENSPTRT00000104938.1","lcl|XM_017887300.1_cds_XP_017742789.1_1 ","lcl|XM_030917965.1_cds_XP_030773825.1_1 ","lcl|XM_010331161.1_cds_XP_010329463.1_1 ","lcl|XM_025356648.1_cds_XP_025212433.1_1 ",NA,7
"ENSG00000005810","MYCBP2","ENST00000544440.7","ENSANAT00000040333.1","ENSCANT00000059778.1","ENSCATT00000059806.1","ENSCCAT00000044277.1","ENSCJAT00000041761.4","ENSCSAT00000015677.1","ENSGGOT00000010880.3","ENSMFAT00000068026.1","ENSMLET00000059617.1","ENSMMUT00000030206.4","ENSMICT00000063639.1","ENSMNET00000053748.1","ENSNLET00000058408.1","ENSOGAT00000000256.2","ENSPPYT00000033416.1","ENSPANT00000034468.1","ENSPCOT00000022219.1","ENSPPAT00000060702.1","ENSPSMT00000008197.1","ENSPTET00000016792.1","ENSPTRT00000106571.1","ENSRBIT00000060397.1","ENSRROT00000037349.1","ENSSBOT00000042728.1","ENSTGET00000011663.1",NA,1
"ENSG00000005889","ZFX","ENST00000379177.5","ENSANAT00000037248.1","ENSCANT00000050991.1","ENSCATT00000062642.1",NA,"ENSCJAT00000009380.3","lcl|XM_007993252.1_cds_XP_007991443.1_1 ","ENSGGOT00000025351.2","ENSMFAT00000067093.1","ENSMLET00000051163.1","ENSMMUT00000061264.2","ENSMICT00000009518.3","ENSMNET00000069664.1","ENSNLET00000043251.1",NA,"ENSPPYT00000023555.2","ENSPANT00000048025.1","ENSPCOT00000035424.1","ENSPPAT00000035546.1","ENSPSMT00000016261.1","ENSPTET00000004476.1","ENSPTRT00000096226.1",NA,"ENSRROT00000045397.1","ENSSBOT00000048250.1","ENSTGET00000034278.1","ENSTSYT00000029148.1",3
"ENSG00000005981","ASB4","ENST00000325885.6","ENSANAT00000029958.1","ENSCANT00000042451.1","ENSCATT00000035412.1","ENSCCAT00000041215.1","ENSCJAT00000025804.3","ENSCSAT00000011059.1","ENSGGOT00000006536.3","ENSMFAT00000003109.1","ENSMLET00000048991.1","ENSMMUT00000011211.4","ENSMICT00000005744.3","ENSMNET00000046069.1","ENSNLET00000020189.2","ENSOGAT00000008470.2","ENSPPYT00000020740.2","ENSPANT00000026204.3","ENSPCOT00000034396.1","ENSPPAT00000061715.1","ENSPSMT00000014647.1","ENSPTET00000046577.1","ENSPTRT00000035940.6","ENSRBIT00000060917.1","ENSRROT00000052524.1","ENSSBOT00000028782.1","ENSTGET00000000787.1","ENSTSYT00000006949.2",0
"ENSG00000006047","YBX2","ENST00000007699.10","ENSANAT00000020836.1",NA,NA,NA,"ENSCJAT00000032247.3",NA,"ENSGGOT00000055816.1",NA,NA,NA,"ENSMICT00000041550.2",NA,NA,NA,"lcl|XM_024235528.1_cds_XP_024091296.1_1 ",NA,"ENSPCOT00000006819.1","ENSPPAT00000061260.1",NA,NA,"ENSPTRT00000015986.6",NA,NA,NA,NA,NA,18
"ENSG00000006194","ZNF263","ENST00000219069.6","ENSANAT00000022608.1","ENSCANT00000055910.1","ENSCATT00000052905.1","ENSCCAT00000042214.1","ENSCJAT00000038460.4","ENSCSAT00000008142.1","ENSGGOT00000010508.3","ENSMFAT00000066364.1","ENSMLET00000027399.1","ENSMMUT00000065105.2","ENSMICT00000014144.3","ENSMNET00000052656.1","ENSNLET00000012271.2","ENSOGAT00000015890.2","ENSPPYT00000008291.2","ENSPANT00000019568.2","ENSPCOT00000032166.1","ENSPPAT00000041846.1","ENSPSMT00000028528.1","ENSPTET00000016126.1","ENSPTRT00000014178.5","ENSRBIT00000032964.1","ENSRROT00000058011.1","ENSSBOT00000024207.1","ENSTGET00000037859.1","ENSTSYT00000028672.1",0
"ENSG00000006377","DLX6","ENST00000518156.3","ENSANAT00000004047.1","ENSCANT00000034857.1","ENSCATT00000049594.1","ENSCCAT00000027178.1","ENSCJAT00000084866.2",NA,"ENSGGOT00000031822.2",NA,NA,"ENSMMUT00000076851.2","ENSMICT00000034203.2","ENSMNET00000060740.1",NA,"ENSOGAT00000014299.2",NA,NA,"ENSPCOT00000024621.1",NA,"ENSPSMT00000013826.1",NA,"ENSPTRT00000067172.3","ENSRBIT00000000177.1","ENSRROT00000044947.1",NA,"ENSTGET00000038481.1",NA,10
"ENSG00000006468","ETV1","ENST00000430479.6","ENSANAT00000056016.1","ENSCANT00000053681.1","ENSCATT00000005252.1","ENSCCAT00000053469.1","ENSCJAT00000001609.4","ENSCSAT00000011458.1","ENSGGOT00000045530.1","ENSMFAT00000068363.1","ENSMLET00000054244.1","ENSMMUT00000072146.2","ENSMICT00000053374.2","ENSMNET00000041676.1","ENSNLET00000034103.1","ENSOGAT00000016432.2","ENSPPYT00000020707.1","ENSPANT00000021874.2","ENSPCOT00000026494.1","ENSPPAT00000019040.1","ENSPSMT00000028730.1","ENSPTET00000049977.1","ENSPTRT00000090530.1","ENSRBIT00000064839.1",NA,"ENSSBOT00000033815.1","ENSTGET00000036876.1","ENSTSYT00000034162.1",1
"ENSG00000006704","GTF2IRD1","ENST00000455841.6","ENSANAT00000004635.1","ENSCANT00000036852.1","ENSCATT00000039781.1","ENSCCAT00000022179.1","ENSCJAT00000031437.4",NA,"ENSGGOT00000000424.3","ENSMFAT00000065922.1","ENSMLET00000045942.1","ENSMMUT00000081966.1","ENSMICT00000065362.1","ENSMNET00000036919.1","ENSNLET00000056628.1","ENSOGAT00000013036.2","ENSPPYT00000020373.1","ENSPANT00000039737.1","ENSPCOT00000022714.1","ENSPPAT00000044554.1","ENSPSMT00000032384.1","ENSPTET00000020545.1","ENSPTRT00000035691.4","ENSRBIT00000035036.1","ENSRROT00000041636.1","ENSSBOT00000055056.1","ENSTGET00000004620.1","ENSTSYT00000037056.1",1
"ENSG00000007237","GAS7","ENST00000432992.6","ENSANAT00000043890.1","ENSCANT00000011913.1","ENSCATT00000034869.1","ENSCCAT00000025538.1","ENSCJAT00000068075.1","ENSCSAT00000008208.1","ENSGGOT00000023119.2","ENSMFAT00000009183.1","ENSMLET00000062449.1","ENSMMUT00000072144.2",NA,"ENSMNET00000052704.1","ENSNLET00000049367.1","ENSOGAT00000000988.2","ENSPPYT00000009336.2","ENSPANT00000031446.1","ENSPCOT00000021237.1","ENSPPAT00000065437.1","ENSPSMT00000024247.1","ENSPTET00000004656.1","ENSPTRT00000016134.5","ENSRBIT00000058819.1",NA,"ENSSBOT00000054697.1","ENSTGET00000040499.1","ENSTSYT00000040777.1",2
"ENSG00000007372","PAX6","ENST00000419022.6","ENSANAT00000050147.1","ENSCANT00000051106.1","ENSCATT00000050573.1","ENSCCAT00000036848.1","ENSCJAT00000011623.2","ENSCSAT00000003285.1","ENSGGOT00000068490.1","ENSMFAT00000060226.1","ENSMLET00000035248.1","ENSMMUT00000109614.1","ENSMICT00000041573.2","ENSMNET00000048621.1","ENSNLET00000036134.1","ENSOGAT00000034814.1",NA,"ENSPANT00000009288.2","ENSPCOT00000040146.1","ENSPPAT00000065298.1","ENSPSMT00000024838.1","ENSPTET00000034327.1","ENSPTRT00000096213.1","ENSRBIT00000042207.1","ENSRROT00000047968.1","ENSSBOT00000008149.1","ENSTGET00000008673.1","ENSTSYT00000043326.1",1
"ENSG00000007545","CRAMP1","ENST00000397412.8","ENSANAT00000036766.1","ENSCANT00000050636.1","ENSCATT00000057626.1","ENSCCAT00000026070.1","ENSCJAT00000028446.2","ENSCSAT00000009604.1","ENSGGOT00000006219.3","ENSMFAT00000007091.1","ENSMLET00000055377.1","ENSMMUT00000001397.4","ENSMICT00000014119.3","ENSMNET00000040795.1","ENSNLET00000010854.3","ENSOGAT00000001258.2","ENSPPYT00000008205.2","ENSPANT00000005569.2","ENSPCOT00000005494.1","ENSPPAT00000048812.1","ENSPSMT00000041394.1","ENSPTET00000050946.1","ENSPTRT00000014023.6","ENSRBIT00000039371.1","ENSRROT00000064882.1","ENSSBOT00000050490.1","ENSTGET00000006928.1","ENSTSYT00000002913.2",0
"ENSG00000007866","TEAD3","ENST00000338863.12","ENSANAT00000039275.1","ENSCANT00000046782.1","ENSCATT00000063546.1","ENSCCAT00000021422.1","ENSCJAT00000030550.4","ENSCSAT00000008067.1","ENSGGOT00000001859.3","ENSMFAT00000068993.1","ENSMLET00000044138.1","ENSMMUT00000022357.4",NA,"ENSMNET00000048043.1","ENSNLET00000011124.2","ENSOGAT00000002947.2","ENSPPYT00000019224.2","ENSPANT00000028714.2","ENSPCOT00000029456.1","ENSPPAT00000017109.1","ENSPSMT00000017105.1","ENSPTET00000044624.1","ENSPTRT00000033436.5","ENSRBIT00000058000.1","ENSRROT00000065681.1","ENSSBOT00000028560.1","ENSTGET00000044018.1",NA,2
"ENSG00000007968","E2F2","ENST00000361729.3","ENSANAT00000055203.1","ENSCANT00000050910.1","ENSCATT00000035741.1","ENSCCAT00000023797.1","ENSCJAT00000041195.4","ENSCSAT00000017607.1","ENSGGOT00000003050.3","ENSMFAT00000068696.1","ENSMLET00000038234.1","ENSMMUT00000016577.4","ENSMICT00000012114.3","ENSMNET00000060952.1","ENSNLET00000010966.2","ENSOGAT00000012047.2","ENSPPYT00000002076.1","ENSPANT00000014571.2","ENSPCOT00000003145.1","ENSPPAT00000060169.1","ENSPSMT00000022115.1","ENSPTET00000016940.1","ENSPTRT00000000654.5","ENSRBIT00000056239.1","ENSRROT00000034415.1","ENSSBOT00000051131.1","ENSTGET00000005783.1","ENSTSYT00000010012.2",0
"ENSG00000008083","JARID2","ENST00000341776.7","ENSANAT00000022781.1","ENSCANT00000053196.1","ENSCATT00000041310.1","ENSCCAT00000019956.1","ENSCJAT00000011118.4","ENSCSAT00000005615.1","ENSGGOT00000005571.4","ENSMFAT00000005963.1","ENSMLET00000048350.1","ENSMMUT00000021535.4","ENSMICT00000040097.2","ENSMNET00000036021.1","ENSNLET00000001176.3","ENSOGAT00000014881.2","ENSPPYT00000018897.2","ENSPANT00000011846.3","ENSPCOT00000017937.1","ENSPPAT00000012675.1","ENSPSMT00000033884.1","ENSPTET00000010073.1","ENSPTRT00000090617.1","ENSRBIT00000027938.1","ENSRROT00000064124.1","ENSSBOT00000025098.1","ENSTGET00000026295.1","ENSTSYT00000047648.1",0
"ENSG00000008196","TFAP2B","ENST00000393655.4","ENSANAT00000021413.1","ENSCANT00000041991.1","ENSCATT00000044091.1","ENSCCAT00000054589.1","ENSCJAT00000078788.2","ENSCSAT00000011013.1","ENSGGOT00000032281.2","ENSMFAT00000014379.1","ENSMLET00000051487.1","ENSMMUT00000004062.3","ENSMICT00000017316.3","ENSMNET00000068123.1","ENSNLET00000005061.2","ENSOGAT00000000702.2","ENSPPYT00000019423.2","ENSPANT00000035024.1","ENSPCOT00000026547.1","ENSPPAT00000038906.1","ENSPSMT00000026162.1","ENSPTET00000011239.1","ENSPTRT00000106066.1","ENSRBIT00000057170.1","ENSRROT00000049480.1","ENSSBOT00000026508.1","ENSTGET00000000448.1","ENSTSYT00000049588.1",0
"ENSG00000008197","TFAP2D","ENST00000008391.4","ENSANAT00000034913.1","ENSCANT00000042205.1","ENSCATT00000038676.1","ENSCCAT00000037543.1","ENSCJAT00000022499.3","ENSCSAT00000011003.1","ENSGGOT00000003525.3","ENSMFAT00000009772.1","ENSMLET00000058776.1","ENSMMUT00000004057.4","ENSMICT00000005513.3","ENSMNET00000056041.1","ENSNLET00000005074.2","ENSOGAT00000000701.2","ENSPPYT00000019422.1","ENSPANT00000015102.2","ENSPCOT00000033160.1","ENSPPAT00000053622.1","ENSPSMT00000026156.1","ENSPTET00000011318.1","ENSPTRT00000033772.4","ENSRBIT00000030979.1","ENSRROT00000065089.1","ENSSBOT00000050951.1","ENSTGET00000000421.1","ENSTSYT00000001864.2",0
"ENSG00000008405","CRY1","ENST00000008527.10","ENSANAT00000031995.1","ENSCANT00000009084.1","ENSCATT00000051254.1","ENSCCAT00000042187.1","ENSCJAT00000029408.4","ENSCSAT00000000957.1","ENSGGOT00000026125.2","ENSMFAT00000014936.1","ENSMLET00000051522.1","ENSMMUT00000105880.1","ENSMICT00000050052.2","ENSMNET00000064111.1","ENSNLET00000008579.2","ENSOGAT00000001214.2","ENSPPYT00000005819.2","ENSPANT00000009448.2","ENSPCOT00000015249.1","ENSPPAT00000014816.1","ENSPSMT00000017282.1","ENSPTET00000024715.1","ENSPTRT00000009904.5","ENSRBIT00000045481.1","ENSRROT00000046969.1","ENSSBOT00000035334.1","ENSTGET00000017334.1","ENSTSYT00000010060.2",0
"ENSG00000008441","NFIX","ENST00000587260.1","ENSANAT00000010378.1","ENSCANT00000062032.1","ENSCATT00000065356.1","ENSCCAT00000026569.1","ENSCJAT00000008872.3",NA,"ENSGGOT00000056038.1","ENSMFAT00000013593.1","ENSMLET00000011449.1","ENSMMUT00000027096.4","ENSMICT00000032201.2","ENSMNET00000042208.1","ENSNLET00000055683.1",NA,NA,"ENSPANT00000042413.1","ENSPCOT00000019418.1","ENSPPAT00000031665.1","ENSPSMT00000007225.1","ENSPTET00000008933.1","ENSPTRT00000097400.1","ENSRBIT00000066173.1","ENSRROT00000043932.1","ENSSBOT00000057002.1","ENSTGET00000003673.1","ENSTSYT00000007551.2",3
