EnsemblID	GeneName	Hsap	Anan	Capa	Caty	Ccap	Cjac	Csab	Ggor	Mfas	Mleu	Mmul	Mmur	Mnem	Nleu	Ogar	Ppyg	Panu	Pcoq	Ppan	Psim	Ptep	Ptro	Rbie	Rrox	Sbbo	Tgel	Tsyr
ENSG00000007968	E2F2	ENST00000361729.3	ENSANAT00000055203.1	ENSCANT00000050910.1	ENSCATT00000035741.1	ENSCCAT00000023797.1	ENSCJAT00000041195.4	ENSCSAT00000017607.1	ENSGGOT00000003050.3	ENSMFAT00000068696.1	ENSMLET00000038234.1	ENSMMUT00000016577.4	ENSMICT00000012114.3	ENSMNET00000060952.1	ENSNLET00000010966.2	ENSOGAT00000012047.2	ENSPPYT00000002076.1	ENSPANT00000014571.2	ENSPCOT00000003145.1	ENSPPAT00000060169.1	ENSPSMT00000022115.1	ENSPTET00000016940.1	ENSPTRT00000000654.5	ENSRBIT00000056239.1	ENSRROT00000034415.1	ENSSBOT00000051131.1	ENSTGET00000005783.1	ENSTSYT00000010012.2
ENSG00000008083	JARID2	ENST00000341776.7	ENSANAT00000022781.1	ENSCANT00000053196.1	ENSCATT00000041310.1	ENSCCAT00000019956.1	ENSCJAT00000011118.4	ENSCSAT00000005615.1	ENSGGOT00000005571.4	ENSMFAT00000005963.1	ENSMLET00000048350.1	ENSMMUT00000021535.4	ENSMICT00000040097.2	ENSMNET00000036021.1	ENSNLET00000001176.3	ENSOGAT00000014881.2	ENSPPYT00000018897.2	ENSPANT00000011846.3	ENSPCOT00000017937.1	ENSPPAT00000012675.1	ENSPSMT00000033884.1	ENSPTET00000010073.1	ENSPTRT00000090617.1	ENSRBIT00000027938.1	ENSRROT00000064124.1	ENSSBOT00000025098.1	ENSTGET00000026295.1	ENSTSYT00000047648.1
ENSG00000008197	TFAP2D	ENST00000008391.4	ENSANAT00000034913.1	ENSCANT00000042205.1	ENSCATT00000038676.1	ENSCCAT00000037543.1	ENSCJAT00000022499.3	ENSCSAT00000011003.1	ENSGGOT00000003525.3	ENSMFAT00000009772.1	ENSMLET00000058776.1	ENSMMUT00000004057.4	ENSMICT00000005513.3	ENSMNET00000056041.1	ENSNLET00000005074.2	ENSOGAT00000000701.2	ENSPPYT00000019422.1	ENSPANT00000015102.2	ENSPCOT00000033160.1	ENSPPAT00000053622.1	ENSPSMT00000026156.1	ENSPTET00000011318.1	ENSPTRT00000033772.4	ENSRBIT00000030979.1	ENSRROT00000065089.1	ENSSBOT00000050951.1	ENSTGET00000000421.1	ENSTSYT00000001864.2
ENSG00000008405	CRY1	ENST00000008527.10	ENSANAT00000031995.1	ENSCANT00000009084.1	ENSCATT00000051254.1	ENSCCAT00000042187.1	ENSCJAT00000029408.4	ENSCSAT00000000957.1	ENSGGOT00000026125.2	ENSMFAT00000014936.1	ENSMLET00000051522.1	ENSMMUT00000105880.1	ENSMICT00000050052.2	ENSMNET00000064111.1	ENSNLET00000008579.2	ENSOGAT00000001214.2	ENSPPYT00000005819.2	ENSPANT00000009448.2	ENSPCOT00000015249.1	ENSPPAT00000014816.1	ENSPSMT00000017282.1	ENSPTET00000024715.1	ENSPTRT00000009904.5	ENSRBIT00000045481.1	ENSRROT00000046969.1	ENSSBOT00000035334.1	ENSTGET00000017334.1	ENSTSYT00000010060.2
ENSG00000009307	CSDE1	ENST00000358528.9	ENSANAT00000031375.1	ENSCANT00000046368.1	ENSCATT00000051441.1	ENSCCAT00000055700.1	ENSCJAT00000085649.1	ENSCSAT00000016872.1	ENSGGOT00000002180.3	ENSMFAT00000009524.1	ENSMLET00000052835.1	ENSMMUT00000101767.1	ENSMICT00000044553.2	ENSMNET00000069977.1	ENSNLET00000048861.1	ENSOGAT00000012133.2	ENSPPYT00000001200.2	ENSPANT00000036917.1	ENSPCOT00000023230.1	ENSPPAT00000029098.1	ENSPSMT00000023739.1	ENSPTET00000046243.1	ENSPTRT00000066905.3	ENSRBIT00000052352.1	ENSRROT00000064090.1	ENSSBOT00000056114.1	ENSTGET00000009707.1	ENSTSYT00000031384.1
ENSG00000009709	PAX7	ENST00000420770.7	ENSANAT00000058395.1	ENSCANT00000043060.1	ENSCATT00000034730.1	ENSCCAT00000056959.1	ENSCJAT00000014784.4	ENSCSAT00000017663.1	ENSGGOT00000034211.2	ENSMFAT00000027165.1	ENSMLET00000052114.1	ENSMMUT00000024536.4	ENSMICT00000027486.2	ENSMNET00000047370.1	ENSNLET00000009960.2	ENSOGAT00000016381.2	ENSPPYT00000002151.1	ENSPANT00000058666.1	ENSPCOT00000014461.1	ENSPPAT00000037473.1	ENSPSMT00000007760.1	ENSPTET00000002674.1	ENSPTRT00000000521.6	ENSRBIT00000040961.1	ENSRROT00000032089.1	ENSSBOT00000038509.1	ENSTGET00000036600.1	ENSTSYT00000039125.1
ENSG00000009954	BAZ1B	ENST00000339594.9	ENSANAT00000028690.1	ENSCANT00000025878.1	ENSCATT00000057238.1	ENSCCAT00000038890.1	ENSCJAT00000032924.4	ENSCSAT00000016264.1	ENSGGOT00000016617.3	ENSMFAT00000065352.1	ENSMLET00000053020.1	ENSMMUT00000085832.1	ENSMICT00000028390.2	ENSMNET00000037693.1	ENSNLET00000011448.2	ENSOGAT00000002374.2	ENSPPYT00000020391.2	ENSPANT00000013834.2	ENSPCOT00000042876.1	ENSPPAT00000015057.1	ENSPSMT00000033803.1	ENSPTET00000023690.1	ENSPTRT00000035623.5	ENSRBIT00000043190.1	ENSRROT00000046594.1	ENSSBOT00000043173.1	ENSTGET00000006720.1	ENSTSYT00000006066.2
ENSG00000010244	ZNF207	ENST00000394670.8	ENSANAT00000050275.1	ENSCANT00000048313.1	ENSCATT00000040530.1	ENSCCAT00000044096.1	ENSCJAT00000028045.3	ENSCSAT00000004417.1	ENSGGOT00000068249.1	ENSMFAT00000023300.1	ENSMLET00000019861.1	ENSMMUT00000072857.2	ENSMICT00000043456.2	ENSMNET00000061009.1	ENSNLET00000050816.1	ENSOGAT00000001200.2	ENSPPYT00000009543.1	ENSPANT00000033645.1	ENSPCOT00000028477.1	ENSPPAT00000040821.1	ENSPSMT00000027862.1	ENSPTET00000005800.1	ENSPTRT00000079276.1	ENSRBIT00000037100.1	ENSRROT00000052254.1	ENSSBOT00000035771.1	ENSTGET00000021057.1	ENSTSYT00000030330.1
ENSG00000150361	KLHL1	ENST00000377844.9	ENSANAT00000019385.1	ENSCANT00000028009.1	ENSCATT00000053825.1	ENSCCAT00000042490.1	ENSCJAT00000032185.2	NA	ENSGGOT00000032430.2	ENSMFAT00000001886.1	ENSMLET00000026947.1	ENSMMUT00000028064.3	ENSMICT00000005247.3	ENSMNET00000040969.1	ENSNLET00000020357.2	ENSOGAT00000014327.2	ENSPPYT00000006402.1	NA	ENSPCOT00000024569.1	ENSPPAT00000045951.1	NA	ENSPTET00000021852.1	ENSPTRT00000010872.5	NA	NA	ENSSBOT00000022756.1	ENSTGET00000009134.1	NA
ENSG00000152443	ZNF776	ENST00000317178.10	ENSANAT00000020853.1	ENSCANT00000061060.1	ENSCATT00000050004.1	ENSCCAT00000021473.1	NA	lcl|XM_007998383.1_cds_XP_007996574.1_1 	ENSGGOT00000044018.1	ENSMFAT00000016055.1	ENSMLET00000030058.1	lcl|XM_028839498.1_cds_XP_028695331.1_1 	NA	ENSMNET00000044430.1	ENSNLET00000035357.1	NA	ENSPPYT00000012197.2	ENSPANT00000013529.2	NA	ENSPPAT00000030634.1	NA	ENSPTET00000005026.1	ENSPTRT00000088271.1	ENSRBIT00000007026.1	ENSRROT00000036617.1	ENSSBOT00000036338.1	ENSTGET00000022646.1	NA
ENSG00000155438	NIFK	ENST00000285814.9	ENSANAT00000042161.1	ENSCANT00000048599.1	ENSCATT00000017406.1	ENSCCAT00000033592.1	ENSCJAT00000000569.4	ENSCSAT00000014795.1	ENSGGOT00000025063.2	ENSMFAT00000066693.1	NA	ENSMMUT00000029431.4	NA	ENSMNET00000049124.1	ENSNLET00000001492.2	NA	ENSPPYT00000029354.2	ENSPANT00000002586.2	NA	ENSPPAT00000046424.1	NA	ENSPTET00000033281.1	ENSPTRT00000023053.5	ENSRBIT00000046177.1	ENSRROT00000055992.1	ENSSBOT00000051809.1	ENSTGET00000000020.1	NA
ENSG00000161277	THAP8	ENST00000292894.2	ENSANAT00000027166.1	ENSCANT00000035623.1	ENSCATT00000013345.1	ENSCCAT00000054489.1	ENSCJAT00000062390.2	ENSCSAT00000002308.1	ENSGGOT00000028968.2	ENSMFAT00000065751.1	ENSMLET00000035667.1	ENSMMUT00000027679.4	NA	ENSMNET00000033182.1	ENSNLET00000014886.2	NA	ENSPPYT00000011508.2	ENSPANT00000035650.1	NA	ENSPPAT00000053048.1	NA	ENSPTET00000015531.1	ENSPTRT00000098034.1	NA	ENSRROT00000042670.1	ENSSBOT00000035963.1	ENSTGET00000012140.1	NA
ENSG00000164107	HAND2	ENST00000359562.4	ENSANAT00000031056.1	NA	ENSCATT00000066875.1	ENSCCAT00000037722.1	ENSCJAT00000108673.1	ENSCSAT00000001125.1	NA	ENSMFAT00000013884.1	NA	ENSMMUT00000041498.3	ENSMICT00000063432.1	ENSMNET00000056670.1	NA	ENSOGAT00000032814.1	ENSPPYT00000017678.2	ENSPANT00000034478.1	ENSPCOT00000008719.1	NA	ENSPSMT00000033026.1	ENSPTET00000008012.1	ENSPTRT00000016537.6	ENSRBIT00000032966.1	ENSRROT00000039373.1	ENSSBOT00000024480.1	ENSTGET00000032644.1	NA
